CLOSE BUY,CL,1993-04-08,60.12,1.26,1993-04-15,62.12,0.59
CLOSE SELL,CL,1993-04-15,62.12,1.30,1993-04-20,58.88,1.50
CLOSE BUY,CL,1993-04-21,59.0,1.40,1993-04-26,59.36,-0.74
CLOSE SELL,CL,1993-04-26,59.36,1.47,1993-04-29,58.88,-0.67
CLOSE BUY,CL,1993-04-30,59.76,1.58,1993-05-13,60.76,-0.37
CLOSE SELL,CL,1993-05-13,60.76,1.41,1993-05-19,59.36,-0.00
CLOSE BUY,CL,1993-05-20,60.36,1.23,1993-05-27,59.0,-2.00
CLOSE SELL,CL,1993-05-28,58.48,1.17,1993-06-10,53.64,3.13
CLOSE BUY,CL,1993-06-11,53.76,1.29,1993-06-23,56.12,0.83
CLOSE SELL,CL,1993-06-23,56.12,1.17,1993-07-08,57.0,-1.75
CLOSE BUY,CL,1993-07-08,57.0,1.01,1993-07-13,57.76,-0.25
CLOSE SELL,CL,1993-07-14,56.88,0.99,1993-07-27,50.0,5.92
CLOSE SELL,CL,1993-08-04,50.0,1.38,1993-08-17,49.0,-0.28
CLOSE BUY,CL,1993-10-04,53.88,0.86,1993-10-18,57.88,3.64
CLOSE BUY,CL,1993-10-25,58.76,1.03,1993-11-23,58.24,-1.50
CLOSE BUY,CL,1993-12-01,59.76,0.91,1993-12-10,60.12,-0.60
CLOSE BUY,CL,1993-12-14,60.88,0.95,1994-01-03,60.88,-1.00
CLOSE SELL,CL,1994-01-03,60.88,0.83,1994-01-07,60.0,0.06
CLOSE BUY,CL,1994-01-10,60.76,0.88,1994-01-21,60.24,-1.59
CLOSE SELL,CL,1994-01-25,59.52,0.87,1994-01-27,59.24,-0.68
CLOSE BUY,CL,1994-02-14,62.0,0.84,1994-03-15,64.36,1.81
CLOSE SELL,CL,1994-03-17,63.24,0.91,1994-04-11,56.48,6.46
CLOSE BUY,CL,1994-04-20,57.76,1.17,1994-05-19,58.36,-0.49
CLOSE BUY,CL,1994-05-20,58.24,1.00,1994-06-20,56.36,-2.00
