CNB.200908,PUT,2008-11-04,4.08,1.06,2008-11-13,2.52,0.24,2008,1,0.24,,5.0,2008-12-20,1.55,2.6,3,315.00,1,315.00,,0,2019-09-06,
CIT,PUT,2012-05-23,34.32,0.98,2012-05-24,35.15,-0.93,2012,0,,-0.93,34.0,2012-07-21,1.77,1.37,2,-80.00,0,,-80.00,1,2019-09-06,
CBE.201211,PUT,2008-03-27,40.43,1.52,2008-04-01,41.98,-1.00,2008,0,,-1.00,40.0,2008-05-17,2.1,1.25,2,-170.00,0,,-170.00,0,2019-09-06,
OSK,CALL,2011-10-21,19.89,1.15,2011-11-16,21.56,0.23,2011,1,0.23,,20.0,2011-11-19,1.5,1.55,3,15.00,1,15.00,,0,2019-09-06,
SYF,PUT,2018-05-25,35.61,0.65,2018-06-15,35.22,-0.20,2018,0,,-0.20,36.0,2018-06-15,1.05,0.75,4,-120.00,0,,-120.00,1,2019-09-07,
SYF,CALL,2018-05-09,33.72,0.78,2018-06-15,35.22,0.46,2018,1,0.46,,34.0,2018-06-15,0.95,1.14,5,95.00,1,95.00,,1,2019-09-07,
SYF,CALL,2018-05-09,33.72,0.78,2018-05-24,35.9,0.90,2018,1,0.90,,36.0,2018-06-15,0.3,0.75,16,720.00,1,720.00,,1,2019-09-07,
SYF,PUT,2018-05-25,35.61,0.65,2018-06-28,33.01,1.49,2018,1,1.49,,34.0,2018-07-20,0.85,1.5,5,325.00,1,325.00,,1,2019-09-07,
LBTYA,PUT,2014-04-28,39.51,0.95,2014-04-30,39.82,-0.66,2014,0,,-0.66,40.0,2014-06-21,1.85,1.5,2,-70.00,0,,-70.00,1,2019-09-07,
LBTYA,CALL,2014-05-01,40.9,1.01,2014-05-12,43.35,0.72,2014,1,0.72,,45.0,2014-06-21,0.4,0.65,12,300.00,1,300.00,,1,2019-09-07,
LBTYA,CALL,2014-05-12,43.35,0.81,2014-05-12,43.35,-0.50,2014,0,,-0.50,45.0,2014-06-21,0.8,0.65,6,-90.00,0,,-90.00,1,2019-09-07,
JUNO,PUT,2016-12-28,19.04,1.02,2017-01-04,20.55,-1.00,2016,0,,-1.00,17.5,2017-02-17,1.4,0.7,3,-210.00,0,,-210.00,1,2019-09-07,
