VXX,PUT,2017-06-13,12.99,0.61,2017-06-20,12.91,-0.43,2017,0,,-0.43,12.0,2017-07-21,0.39,0.37,12,-24.00,0,,-24.00,0,
CMCSA,CALL,2010-04-16,18.32,0.40,2010-04-16,18.32,-0.50,2010,0,,-0.50,18.0,2010-04-17,0.34,0.3,14,-56.00,0,,-56.00,1,
LUK,PUT,2015-11-11,18.79,0.37,2015-11-24,18.01,0.55,2015,1,0.55,,19.0,2015-12-18,0.8,1.05,6,150.00,1,150.00,,0,
PENN,PUT,2011-09-22,33.65,1.52,2011-10-19,39.36,-1.00,2011,0,,-1.00,34.0,2011-11-19,3.2,0.45,1,-275.00,0,,-275.00,1,
AEP,PUT,2008-07-25,39.65,0.91,2008-07-30,40.15,-0.77,2008,0,,-0.77,40.0,2008-09-20,1.95,1.55,2,-80.00,0,,-80.00,1,
EWZ,PUT,2011-09-29,54.03,2.28,2011-10-04,50.97,0.17,2011,1,0.17,,54.0,2011-11-19,3.95,5.35,1,140.00,1,140.00,,0,
EWZ,PUT,2011-09-29,54.03,2.28,2011-10-04,50.97,0.17,2011,1,0.17,,54.0,2011-11-19,3.95,5.35,1,140.00,1,140.00,,0,
VNQ,CALL,2012-03-05,61.89,0.79,2012-03-06,61.07,-1.00,2012,0,,-1.00,62.0,2012-04-21,1.35,0.85,3,-150.00,0,,-150.00,0,
VNQ,CALL,2012-03-13,63.08,0.83,2012-04-20,64.0,0.05,2012,1,0.05,,63.0,2012-04-21,1.14,0.9,4,-96.00,0,,-96.00,0,
