SELL,SNDK.201605,2011-09-01,36.27,2.0869997
CLOSE SELL,SNDK.201605,2011-09-08,38.52,-2.00
BUY,SNDK.201605,2011-09-12,40.02,1.9514997
CLOSE BUY,SNDK.201605,2011-09-21,42.67,0.36
BUY,SNDK.201605,2011-09-26,42.87,1.8549995
CLOSE BUY,SNDK.201605,2011-10-31,50.67,3.20
BUY,SNDK.201605,2011-11-03,50.41,2.0064998
CLOSE BUY,SNDK.201605,2011-11-17,49.52,-1.44
SELL,SNDK.201605,2011-11-23,45.79,1.9555006
CLOSE SELL,SNDK.201605,2011-12-20,48.84,-2.00
SELL,SNDK.201605,2012-04-04,44.51,1.4210001
CLOSE SELL,SNDK.201605,2012-04-24,36.49,4.64
SELL,SNDK.201605,2012-05-16,33.46,1.3705003
CLOSE SELL,SNDK.201605,2012-06-04,31.66,0.31
BUY,SNDK.201605,2012-06-06,35.09,1.3075
CLOSE BUY,SNDK.201605,2012-07-20,38.7,1.76
BUY,SNDK.201605,2012-08-16,42.7,1.5414997
CLOSE BUY,SNDK.201605,2012-09-20,45.95,1.11
SELL,SNDK.201605,2012-10-12,42.28,1.3025
CLOSE SELL,SNDK.201605,2012-11-16,39.46,1.17
BUY,SNDK.201605,2013-01-15,47.03,1.1899998
CLOSE BUY,SNDK.201605,2013-02-19,51.65,2.88
BUY,SNDK.201605,2013-03-11,52.62,1.0730002
BUY,SNDK.201605,2013-05-06,54.6,1.8689998
CLOSE BUY,SNDK.201605,2013-06-20,59.38,1.56
BUY,SNDK.201605,2013-06-27,60.47,1.7154995
CLOSE BUY,SNDK.201605,2013-07-24,60.73,-0.85
SELL,SNDK.201605,2013-07-26,57.0,1.7149998
CLOSE SELL,SNDK.201605,2013-08-16,55.81,-0.31
BUY,SNDK.201605,2013-09-09,59.31,1.4395002
CLOSE BUY,SNDK.201605,2013-10-18,68.73,5.54
BUY,SNDK.201605,2013-10-28,70.22,1.7639999
CLOSE BUY,SNDK.201605,2013-12-20,69.51,-1.40
SELL,SNDK.201605,2014-01-24,69.48,1.7274994
CLOSE SELL,SNDK.201605,2014-02-05,68.78,-0.59
BUY,SNDK.201605,2014-02-07,71.61,1.834499
CLOSE BUY,SNDK.201605,2014-03-06,75.45,1.09
BUY,SNDK.201605,2014-03-17,74.74,1.5604988
CLOSE BUY,SNDK.201605,2014-03-21,80.1,2.43
BUY,SNDK.201605,2014-05-16,90.99,1.9779999
CLOSE BUY,SNDK.201605,2014-06-09,98.17,2.63
BUY,SNDK.201605,2014-06-11,99.66,1.9210002
CLOSE BUY,SNDK.201605,2014-07-10,103.77,1.14
SELL,SNDK.201605,2014-07-31,91.71,2.7189987
CLOSE SELL,SNDK.201605,2014-08-26,98.54,-2.00
SELL,SNDK.201605,2014-09-02,95.64,1.6884995
CLOSE SELL,SNDK.201605,2014-09-16,100.04,-2.00
BUY,SNDK.201605,2014-09-16,100.04,1.9714992
CLOSE BUY,SNDK.201605,2014-10-01,95.11,-2.00
SELL,SNDK.201605,2014-10-01,95.11,2.6665008
CLOSE SELL,SNDK.201605,2014-10-13,82.81,3.61
BUY,SNDK.201605,2014-12-03,103.36,2.1145
CLOSE BUY,SNDK.201605,2015-01-05,95.33,-2.00
SELL,SNDK.201605,2015-01-02,97.88,2.351501
CLOSE SELL,SNDK.201605,2015-01-13,81.0,6.18
BUY,SNDK.201605,2015-03-12,83.75,2.1734996
CLOSE BUY,SNDK.201605,2015-03-25,81.18,-2.00
BUY,SNDK.201605,2015-05-28,69.59,1.466499
CLOSE BUY,SNDK.201605,2015-06-23,65.09,-2.00
SELL,SNDK.201605,2015-06-26,62.12,1.4920006
CLOSE SELL,SNDK.201605,2015-07-07,55.89,3.18
SELL,SNDK.201605,2015-07-27,61.16,2.1870005
CLOSE SELL,SNDK.201605,2015-08-24,47.65,5.18
BUY,SNDK.201605,2015-09-30,54.33,1.9120004
CLOSE BUY,SNDK.201605,2015-10-21,76.78,10.74
BUY,SNDK.201605,2015-12-01,75.88,0.93000066
CLOSE BUY,SNDK.201605,2016-01-13,71.8,-2.00
SELL,SNDK.201605,2016-01-13,71.8,1.1675003
