CLOSE SELL,AMAT,2005-01-19,16.01,0.37,2005-02-16,17.5,-2.00
CLOSE SELL,AMAT,2005-04-12,15.92,0.35,2005-04-15,14.5,3.11
CLOSE BUY,AMAT,2005-05-05,15.47,0.42,2005-05-31,16.42,1.27
CLOSE BUY,AMAT,2005-07-13,17.13,0.35,2005-08-11,17.79,0.88
CLOSE BUY,AMAT,2005-08-22,18.52,0.46,2005-09-20,17.08,-2.00
CLOSE SELL,AMAT,2005-10-04,16.92,0.39,2005-11-01,16.03,1.26
CLOSE BUY,AMAT,2005-11-02,16.39,0.37,2005-12-01,18.64,5.08
CLOSE BUY,AMAT,2005-12-12,19.11,0.49,2006-01-11,20.65,2.11
CLOSE BUY,AMAT,2006-01-18,19.74,0.52,2006-01-27,19.75,-0.98
CLOSE BUY,AMAT,2006-02-01,19.33,0.62,2006-02-16,19.96,0.01
CLOSE BUY,AMAT,2006-03-01,18.85,0.55,2006-03-29,17.59,-2.00
CLOSE BUY,AMAT,2006-03-17,17.49,0.51,2006-04-17,17.65,-0.69
CLOSE BUY,AMAT,2006-04-26,17.91,0.48,2006-05-09,18.61,0.46
CLOSE SELL,AMAT,2006-05-17,16.93,0.51,2006-06-15,16.83,-0.80
CLOSE SELL,AMAT,2006-07-05,16.21,0.41,2006-07-24,15.13,1.66
CLOSE SELL,AMAT,2006-08-01,15.47,0.49,2006-08-22,15.59,-1.25
CLOSE BUY,AMAT,2006-08-22,15.59,0.45,2006-09-05,16.81,1.70
CLOSE BUY,AMAT,2006-09-11,16.43,0.37,2006-09-20,17.27,1.28
CLOSE BUY,AMAT,2006-09-25,17.35,0.46,2006-10-18,17.82,0.02
CLOSE BUY,AMAT,2006-12-05,18.55,0.54,2007-01-05,18.67,-0.78
CLOSE BUY,AMAT,2007-04-30,19.22,0.38,2007-05-29,19.21,-1.03
CLOSE BUY,AMAT,2007-07-16,20.62,0.42,2007-08-09,22.39,3.22
CLOSE BUY,AMAT,2007-08-17,20.8,0.64,2007-09-05,21.3,-0.22
CLOSE BUY,AMAT,2007-09-11,21.02,0.59,2007-09-24,21.04,-0.97
CLOSE BUY,AMAT,2007-09-26,20.68,0.56,2007-10-08,20.91,-0.59
CLOSE SELL,AMAT,2007-11-01,18.78,0.74,2007-11-30,18.83,-1.07
CLOSE SELL,AMAT,2007-12-28,17.87,0.46,2008-01-14,16.84,1.23
CLOSE BUY,AMAT,2008-01-24,17.96,0.62,2008-02-22,19.68,1.78
CLOSE BUY,AMAT,2008-03-04,20.32,0.78,2008-03-19,20.67,-0.55
CLOSE SELL,AMAT,2008-04-07,20.19,0.66,2008-04-24,19.26,0.40
CLOSE SELL,AMAT,2008-05-21,18.89,0.59,2008-06-12,19.36,-1.79
CLOSE BUY,AMAT,2008-06-12,19.36,0.52,2008-06-20,20.1,0.43
