VSTO,CALL,2015-06-10,46.92,1.18,2015-07-17,42.95,-1.00,2015,0,,-1.00,50.0,2015-07-17,1.05,0.0,9,-945.00,0,,-945.00,
VSTO,CALL,2015-07-22,43.83,0.93,2015-08-07,47.74,1.61,2015,1,1.61,,45.0,2015-09-18,1.75,3.0,5,625.00,1,625.00,,
VSTO,PUT,2015-09-18,45.07,1.52,2015-10-15,42.43,0.37,2015,1,0.37,,45.0,2015-10-16,1.85,2.15,5,150.00,1,150.00,,
VSTO,CALL,2015-12-18,43.4,1.01,2016-01-15,44.9,0.25,2015,1,0.25,,45.0,2016-01-15,0.95,0.0,10,-950.00,0,,-950.00,
VSTO,CALL,2016-01-20,43.96,1.52,2016-02-01,47.5,0.67,2016,1,0.67,,45.0,2016-02-19,1.65,2.55,6,540.00,1,540.00,,
VSTO,CALL,2016-03-02,50.6,1.57,2016-04-15,48.96,-1.00,2016,0,,-1.00,55.0,2016-04-15,0.65,0.0,15,-975.00,0,,-975.00,
VSTO,CALL,2016-05-24,49.46,1.12,2016-06-03,49.41,-0.52,2016,0,,-0.52,50.0,2016-07-15,1.9,1.3,5,-300.00,0,,-300.00,
VSTO,PUT,2016-08-10,51.34,0.71,2016-08-30,39.98,7.55,2016,1,7.55,,45.0,2016-09-16,0.6,4.5,16,6240.00,1,6240.00,,
VSTO,PUT,2016-11-29,40.24,1.09,2017-01-20,27.78,5.20,2016,1,5.20,,40.0,2017-01-20,1.5,11.3,6,5880.00,1,5880.00,,
VSTO,PUT,2017-01-27,28.33,1.41,2017-03-17,20.89,2.14,2017,1,2.14,,25.0,2017-03-17,0.65,3.4,15,4125.00,1,4125.00,,
VSTO,PUT,2017-04-03,19.54,0.62,2017-05-19,21.8,-1.00,2017,0,,-1.00,20.0,2017-05-19,1.5,0.0,6,-900.00,0,,-900.00,
VSTO,PUT,2017-05-22,21.69,0.83,2017-06-01,22.13,-0.76,2017,0,,-0.76,20.0,2017-07-21,0.85,0.4,11,-495.00,0,,-495.00,
VSTO,PUT,2017-06-15,23.69,0.88,2017-07-11,22.5,0.18,2017,1,0.18,,22.5,2017-07-21,0.75,0.45,13,-390.00,0,,-390.00,
VSTO,PUT,2017-08-15,23.55,0.85,2017-09-06,20.9,1.05,2017,1,1.05,,20.0,2017-09-15,0.2,0.1,49,-490.00,0,,-490.00,
VSTO,PUT,2017-09-29,22.94,0.77,2017-10-18,21.48,0.45,2017,1,0.45,,20.0,2017-11-17,0.6,0.65,16,80.00,1,80.00,,
VSTO,PUT,2017-10-26,21.79,0.75,2017-11-10,13.28,5.18,2017,1,5.18,,20.0,2017-12-15,0.8,6.4,12,6720.00,1,6720.00,,
